,_District,Rural_/_Urban,Male_/_Female,In_school_with_pre-primary_as_percent_of_pre-primary_population,In_school_with_Primary_education_as_%_of_primary_school_age_population,In_school_with_Secondary_education_as_percent_of_secondary_school_age_population,In_school_with_Tertiary_education_as_%_of_population,University_students_as_%_of_population,Youth_Polytechnic_students_as_percent_of_population,%_of_people_with_over_3_years_Basic_Literacy,Students_in_Madrassa_school_as_percent_of_school_age_children,No_of_people_over_3_years_in_school_with_Pre-Primary_education,No_of_people_over_3_years_in_school_with_Primary_education,No_of_people_over_3_years_in_school_with_Secondary_education,No_of_people_over_3_years_in_school_with_Tertiary_education,No_of_people_over_3_years_in_University,Youth_Polytechnic,No_of_people_over_3_years_with_Basic_Literacy,No_of_people_over_3_years_in__Madrassa_school,Population,pre-primary_school_age_children,Primary_school_age_children,Secondary_School_age_children,School_age_children,Tertiary_age_population,County,Province,Census_Table,MTEF_Sector,MTP_Sector,Longtitude,Latitude,Geolocation,OBJECTID
383,TURKANA SOUTH,Rural,Male,44.6%,58.41%,21.7%,2.07%,1.39%,0.17%,0.05%,0%,3381,20152,3519,296,198,24,14,0,27584,7580,34501,16219,58300,14291,Turkana,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.99979492,2.078370044,"(2.078370044, 35.99979492)",382
384,TURKANA SOUTH,Rural,Female,45.75%,56.27%,17.38%,1.68%,0.83%,0.13%,0.07%,0%,3112,16722,2070,179,89,14,15,0,22201,6802,29718,11910,48430,10676,Turkana,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.99979492,2.078370044,"(2.078370044, 35.99979492)",383
385,WEST POKOT,Rural,Male,100.31%,111.56%,29.61%,2.71%,2.15%,0.27%,0.03%,0%,5421,19947,2051,169,134,17,8,1,27748,5404,17880,6927,30211,6233,West Pokot,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.16354392,1.492414256,"(1.492414256, 35.16354392)",384
386,WEST POKOT,Rural,Female,102.72%,102.21%,22.51%,1.92%,0.88%,0.49%,0.03%,0%,5251,18136,1407,133,61,34,8,0,25030,5112,17743,6250,29105,6941,West Pokot,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.16354392,1.492414256,"(1.492414256, 35.16354392)",385
387,POKOT NORTH,Rural,Male,30.91%,34.41%,10.51%,1.17%,1.04%,0.16%,0.03%,0%,2043,8333,897,81,72,11,3,1,11441,6609,24215,8538,39362,6925,West Pokot,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.10600361,2.039330692,"(2.039330692, 35.10600361)",386
388,POKOT NORTH,Rural,Female,30.57%,30.1%,6.96%,0.77%,0.47%,0.09%,0.01%,0%,1919,6762,481,57,35,7,1,0,9262,6278,22464,6908,35650,7407,West Pokot,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.10600361,2.039330692,"(2.039330692, 35.10600361)",387
389,POKOT CENTRAL,Rural,Male,109.68%,108.26%,23.69%,2.89%,1.09%,0.43%,0.01%,0%,7399,24929,2013,234,88,35,4,0,34702,6746,23026,8496,38268,8100,West Pokot,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.49402215,1.491213025,"(1.491213025, 35.49402215)",388
390,POKOT CENTRAL,Rural,Female,105.55%,106.96%,14.61%,2.14%,0.23%,0.7%,0.01%,0%,6889,24094,1200,199,21,65,3,1,32472,6527,22526,8214,37267,9304,West Pokot,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.49402215,1.491213025,"(1.491213025, 35.49402215)",389
391,SAMBURU CENTRAL,Rural,Male,116.72%,86.59%,19.86%,2.17%,1.07%,0.19%,0.28%,0%,4286,9638,822,93,46,8,42,0,14935,3672,11131,4140,18943,4283,Samburu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.71442163,1.09166901,"(1.09166901, 36.71442163)",390
392,SAMBURU CENTRAL,Rural,Female,106.58%,69.22%,10.69%,1.41%,0.19%,0.08%,0.57%,0.01%,3937,7435,371,67,9,4,68,1,11892,3694,10741,3472,17907,4760,Samburu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.71442163,1.09166901,"(1.09166901, 36.71442163)",391
393,SAMBURU EAST,Rural,Male,53.9%,44.24%,12%,0.88%,0.42%,0.14%,0.18%,0%,989,2695,259,19,9,3,7,0,3981,1835,6092,2158,10085,2167,Samburu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.47389892,1.081019259,"(1.081019259, 37.47389892)",392
394,SAMBURU EAST,Rural,Female,43.42%,29.81%,4.39%,0.25%,0.13%,0%,0.49%,0%,815,1755,83,6,3,0,13,0,2675,1877,5887,1890,9654,2371,Samburu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.47389892,1.081019259,"(1.081019259, 37.47389892)",393
395,SAMBURU NORTH,Rural,Male,63.21%,38.4%,10.46%,0.38%,0.32%,0.03%,0.07%,0%,1201,2883,326,12,10,1,3,0,4436,1900,7508,3118,12526,3167,Samburu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.83086912,1.789437949,"(1.789437949, 36.83086912)",394
396,SAMBURU NORTH,Rural,Female,55.8%,28.68%,5.53%,0.25%,0.13%,0.04%,0.03%,0%,1025,1913,126,6,3,1,1,0,3075,1837,6669,2279,10785,2387,Samburu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.83086912,1.789437949,"(1.789437949, 36.83086912)",395
397,TRANS NZOIA WEST,Rural,Male,97.16%,122.98%,44.65%,2.98%,2.55%,0.43%,0.03%,0%,8470,36678,5336,336,287,48,16,0,51171,8718,29824,11950,50492,11263,Trans Nzoia,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.89426897,0.942674226,"(0.942674226, 34.89426897)",396
398,TRANS NZOIA WEST,Rural,Female,95.8%,120.58%,37.65%,2.94%,1.2%,0.47%,0.04%,0%,7969,35168,4350,343,140,55,18,2,48045,8318,29165,11554,49037,11674,Trans Nzoia,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.89426897,0.942674226,"(0.942674226, 34.89426897)",397
399,TRANS NZOIA EAST,Rural,Male,98.7%,121.14%,52.91%,3.67%,2.82%,0.47%,0.02%,0%,6935,29480,5104,341,262,44,9,0,42175,7026,24335,9647,41008,9295,Trans Nzoia,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.18029104,1.022635873,"(1.022635873, 35.18029104)",398
400,TRANS NZOIA EAST,Rural,Female,99.03%,119.21%,47.08%,3.55%,1.33%,0.44%,0.02%,0%,6545,28823,4414,341,128,42,8,1,40302,6609,24179,9375,40163,9595,Trans Nzoia,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.18029104,1.022635873,"(1.022635873, 35.18029104)",399
401,KWANZA,Rural,Male,86.2%,121.26%,41.96%,2.49%,1.74%,0.34%,0.02%,0%,6904,32459,4346,260,182,35,10,1,44197,8009,26768,10358,45135,10445,Trans Nzoia,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.85810469,1.134996095,"(1.134996095, 34.85810469)",400
402,KWANZA,Rural,Female,84.76%,118.41%,31.6%,1.84%,0.95%,0.43%,0.02%,0%,6743,31674,3104,200,103,47,9,0,41880,7955,26749,9824,44528,10876,Trans Nzoia,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.85810469,1.134996095,"(1.134996095, 34.85810469)",401
403,BARINGO,Rural,Male,114.93%,132.07%,49.57%,8.95%,3.73%,0.5%,0.03%,0%,5313,21942,3660,554,231,31,9,0,31740,4623,16614,7383,28620,6193,Baringo,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.97415916,0.448155493,"(0.448155493, 35.97415916)",402
404,BARINGO,Rural,Female,110.46%,129.22%,44.72%,12.43%,2.07%,0.62%,0.05%,0%,4976,20941,3184,757,126,38,14,0,30036,4505,16206,7120,27831,6091,Baringo,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.97415916,0.448155493,"(0.448155493, 35.97415916)",403
405,BARINGO NORTH,Rural,Male,101.46%,136.58%,52.65%,6.44%,3.74%,0.78%,0.01%,0%,3186,16421,2847,281,163,34,2,0,22934,3140,12023,5407,20570,4364,Baringo,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.80555092,0.745856425,"(0.745856425, 35.80555092)",404
406,BARINGO NORTH,Rural,Female,100.24%,135.79%,49.33%,6.55%,1.41%,0.7%,0%,0%,2956,15595,2588,292,63,31,1,0,21526,2949,11485,5246,19680,4457,Baringo,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.80555092,0.745856425,"(0.745856425, 35.80555092)",405
407,EAST POKOT,Rural,Male,44.73%,39.72%,11.35%,1.3%,1.19%,0.16%,0.07%,0%,2579,8556,958,90,83,11,8,0,12285,5766,21541,8440,35747,6949,Baringo,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.01860317,1.049001072,"(1.049001072, 36.01860317)",406
408,EAST POKOT,Rural,Female,44.42%,34.17%,9.45%,0.83%,0.53%,0.12%,0.13%,0%,2279,6388,533,50,32,7,12,0,9301,5131,18693,5639,29463,5994,Baringo,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.01860317,1.049001072,"(1.049001072, 36.01860317)",407
409,KOIBATEK,Rural,Male,140.21%,128.81%,55.1%,5.04%,3.27%,1%,0.02%,0%,6353,21570,3860,342,222,68,7,0,32422,4531,16745,7005,28281,6780,Baringo,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.86953085,0.105862677,"(0.105862677, 35.86953085)",408
410,KOIBATEK,Rural,Female,140.03%,124.38%,54.14%,7.34%,2.28%,1.34%,0.03%,0%,5982,20588,3720,461,143,84,10,1,30989,4272,16552,6871,27695,6284,Baringo,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.86953085,0.105862677,"(0.105862677, 35.86953085)",409
411,ELDORET WEST,Rural,Male,116.53%,124.58%,52.03%,4.89%,2.86%,0.38%,0.03%,0%,9687,36780,6169,643,376,50,14,2,53721,8313,29524,11857,49694,13147,Uasin Gishu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.19163187,0.711285558,"(0.711285558, 35.19163187)",410
412,ELDORET WEST,Rural,Female,111.82%,123.41%,49.01%,7.04%,1.9%,0.45%,0.03%,0%,8818,35723,5725,873,235,56,13,1,51444,7886,28947,11682,48515,12396,Uasin Gishu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.19163187,0.711285558,"(0.711285558, 35.19163187)",411
413,ELDORET EAST,Rural,Male,112.6%,127.93%,53.93%,5.38%,3.51%,0.89%,0.05%,0.01%,5800,24573,4245,446,291,74,17,3,35449,5151,19208,7871,32230,8285,Uasin Gishu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.41893944,0.563160828,"(0.563160828, 35.41893944)",412
414,ELDORET EAST,Rural,Female,108.89%,125.12%,56.42%,7.62%,2.94%,1.08%,0.05%,0%,5449,23374,4449,591,228,84,18,1,34194,5004,18681,7886,31571,7755,Uasin Gishu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.41893944,0.563160828,"(0.563160828, 35.41893944)",413
415,WARENG,Rural,Male,131.17%,122%,58.2%,6.08%,35.25%,0.87%,0.06%,0%,5951,19392,3734,517,2997,74,20,1,32686,4537,15895,6416,26848,8501,Uasin Gishu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.33850049,0.299690606,"(0.299690606, 35.33850049)",414
416,WARENG,Rural,Female,131.76%,119.8%,57.41%,8.5%,22.24%,0.62%,0.04%,0%,5596,18422,3726,691,1807,50,12,0,30304,4247,15377,6490,26114,8125,Uasin Gishu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.33850049,0.299690606,"(0.299690606, 35.33850049)",415
417,MARAKWET,Rural,Male,97.08%,131.23%,44.76%,4.97%,2.82%,0.58%,0.01%,0%,6187,29437,4108,413,234,48,6,0,40433,6373,22431,9177,37981,8312,Elgeyo Marakwet,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.50699822,1.08405524,"(1.08405524, 35.50699822)",416
418,MARAKWET,Rural,Female,95.47%,128.8%,38.01%,4.1%,1.08%,0.77%,0.03%,0%,6011,28346,3259,356,94,67,10,1,38144,6296,22008,8573,36877,8692,Elgeyo Marakwet,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.50699822,1.08405524,"(1.08405524, 35.50699822)",417
419,KEIYO,Rural,Male,116.95%,132.73%,47.76%,5.36%,2.75%,1.37%,0.03%,0%,5299,21868,3255,357,183,91,10,0,31063,4531,16476,6815,27822,6657,Elgeyo Marakwet,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.57039657,0.489045271,"(0.489045271, 35.57039657)",418
420,KEIYO,Rural,Female,114.36%,129.81%,50.03%,5.81%,1.98%,1.15%,0.03%,0%,4891,21095,3411,369,126,73,9,0,29974,4277,16251,6818,27346,6349,Elgeyo Marakwet,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.57039657,0.489045271,"(0.489045271, 35.57039657)",419
421,NANDI NORTH,Rural,Male,147.52%,123.21%,57.67%,5.17%,3.23%,0.63%,0.02%,0%,7925,23067,4237,416,260,51,8,0,35964,5372,18722,7347,31441,8051,Nandi,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.06077368,0.438611778,"(0.438611778, 35.06077368)",420
422,NANDI NORTH,Rural,Female,140.46%,120.13%,53.93%,6.47%,1.8%,0.53%,0.1%,0%,7130,22065,3833,511,142,42,34,1,33758,5076,18367,7108,30551,7899,Nandi,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.06077368,0.438611778,"(0.438611778, 35.06077368)",421
423,NANDI CENTRAL,Rural,Male,117.69%,124.23%,55.18%,5.12%,2.69%,0.81%,0.03%,0%,5662,20762,3672,362,190,57,9,1,30715,4811,16713,6654,28178,7065,Nandi,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.08490348,0.237462739,"(0.237462739, 35.08490348)",422
424,NANDI CENTRAL,Rural,Female,110.82%,120.5%,44.91%,6.77%,1.48%,0.85%,0.03%,0%,5223,20240,2870,471,103,59,10,1,28977,4713,16796,6390,27899,6959,Nandi,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.08490348,0.237462739,"(0.237462739, 35.08490348)",423
425,NANDI EAST,Rural,Male,131.68%,121.17%,44.44%,5.04%,3.49%,0.79%,0.03%,0%,5158,15037,2093,267,185,42,6,1,22789,3917,12410,4710,21037,5300,Nandi,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.23779105,0.105368029,"(0.105368029, 35.23779105)",424
